caldt,vwretd
04/04/1966,0.009154
05/04/1966,0.005867
06/04/1966,0.002565
07/04/1966,0.003154
11/04/1966,0.001176
12/04/1966,-0.002851
13/04/1966,0.001132
14/04/1966,0.003453
15/04/1966,0.000929
18/04/1966,-0.004016
19/04/1966,0.000405
20/04/1966,0.005291
21/04/1966,0.003477
22/04/1966,-0.001856
25/04/1966,-0.001452
26/04/1966,-0.000765
27/04/1966,-0.002806
28/04/1966,-0.006456
29/04/1966,0.000443
02/05/1966,-0.000980
03/05/1966,-0.010808
04/05/1966,-0.005425
05/05/1966,-0.017364
06/05/1966,-0.002577
09/05/1966,-0.015869
10/05/1966,0.008840
11/05/1966,0.001912
12/05/1966,-0.012467
13/05/1966,-0.009288
16/05/1966,-0.014670
17/05/1966,-0.009114
18/05/1966,0.018800
19/05/1966,-0.000987
20/05/1966,0.005100
23/05/1966,0.008834
24/05/1966,0.007393
25/05/1966,0.004276
26/05/1966,0.000817
27/05/1966,0.003436
31/05/1966,-0.013026
01/06/1966,0.000066
02/06/1966,-0.000391
03/06/1966,0.001372
06/06/1966,-0.007108
07/06/1966,-0.006690
08/06/1966,0.001741
09/06/1966,0.007233
10/06/1966,0.010937
13/06/1966,0.004872
14/06/1966,0.003513
15/06/1966,-0.003581
16/06/1966,-0.001978
17/06/1966,0.000324
20/06/1966,-0.000369
21/06/1966,0.003664
22/06/1966,0.002019
23/06/1966,-0.003788
24/06/1966,0.000231
27/06/1966,-0.006060
28/06/1966,-0.004609
29/06/1966,-0.009760
30/06/1966,-0.001761
01/07/1966,0.009788
05/07/1966,0.001638
06/07/1966,0.013781
07/07/1966,0.003639
08/07/1966,0.001725
11/07/1966,-0.001325
12/07/1966,-0.004790
13/07/1966,-0.006046
14/07/1966,0.005521
15/07/1966,0.003141
18/07/1966,-0.001052
19/07/1966,-0.007111
20/07/1966,-0.008705
21/07/1966,-0.000393
22/07/1966,-0.000852
25/07/1966,-0.018943
26/07/1966,-0.002253
27/07/1966,0.004898
28/07/1966,-0.003422
29/07/1966,-0.001833
01/08/1966,-0.014923
02/08/1966,0.000445
03/08/1966,0.009831
04/08/1966,0.008970
05/08/1966,0.001512
08/08/1966,-0.001525
09/08/1966,-0.001638
10/08/1966,-0.004128
11/08/1966,-0.000407
12/08/1966,0.002449
15/08/1966,-0.004705
16/08/1966,-0.012378
17/08/1966,-0.005625
18/08/1966,-0.012571
19/08/1966,-0.007442
22/08/1966,-0.017863
23/08/1966,-0.001172
24/08/1966,0.011572
25/08/1966,-0.012368
26/08/1966,-0.021981
29/08/1966,-0.025405
30/08/1966,0.016083
31/08/1966,0.016074
01/09/1966,0.006608
02/09/1966,-0.003142
06/09/1966,-0.005036
07/09/1966,-0.008907
08/09/1966,-0.003360
09/09/1966,0.003360
12/09/1966,0.021018
13/09/1966,0.005990
14/09/1966,0.009143
15/09/1966,0.010189
16/09/1966,-0.000116
19/09/1966,-0.004391
20/09/1966,-0.006557
21/09/1966,-0.016704
22/09/1966,0.002315
23/09/1966,-0.002870
26/09/1966,0.002557
27/09/1966,0.002903
28/09/1966,-0.011488
29/09/1966,-0.010739
30/09/1966,0.002932
03/10/1966,-0.021441
04/10/1966,0.000833
05/10/1966,-0.005566
06/10/1966,-0.010000
07/10/1966,-0.012238
10/10/1966,0.016751
11/10/1966,0.004989
12/10/1966,0.026427
13/10/1966,0.000090
14/10/1966,-0.002569
17/10/1966,0.010909
18/10/1966,0.016248
19/10/1966,-0.007118
20/10/1966,-0.002919
21/10/1966,0.003382
24/10/1966,0.002391
25/10/1966,0.005253
26/10/1966,0.008754
27/10/1966,0.008159
28/10/1966,0.000585
31/10/1966,-0.000266
01/11/1966,0.008265
02/11/1966,0.001397
03/11/1966,-0.003167
04/11/1966,0.003970
07/11/1966,-0.000197
09/11/1966,0.008422
10/11/1966,0.006491
11/11/1966,0.001294
14/11/1966,-0.005022
15/11/1966,0.004123
16/11/1966,0.008714
17/11/1966,-0.006305
18/11/1966,-0.005810
21/11/1966,-0.013432
22/11/1966,-0.004846
23/11/1966,0.007615
25/11/1966,0.008321
28/11/1966,-0.000296
29/11/1966,-0.002675
30/11/1966,0.000951
01/12/1966,-0.003652
02/12/1966,0.000416
05/12/1966,0.001198
06/12/1966,0.007159
07/12/1966,0.010244
08/12/1966,0.004117
09/12/1966,0.002354
12/12/1966,0.009791
13/12/1966,-0.002668
14/12/1966,0.000079
15/12/1966,-0.010191
16/12/1966,0.000404
19/12/1966,-0.002567
